iter	Passed	Remaining
929	2789	209
930	2793	207
931	2797	204
932	2800	201
933	2803	198
934	2806	195
935	2809	192
936	2811	189
937	2814	186
938	2817	183
939	2820	180
940	2822	176
941	2825	173
942	2827	170
943	2830	167
944	2833	164
945	2835	161
946	2838	158
947	2840	155
948	2843	152
949	2846	149
950	2849	146
951	2851	143
952	2854	140
953	2857	137
954	2859	134
955	2862	131
956	2865	128
957	2867	125
958	2870	122
959	2873	119
960	2876	116
961	2878	113
962	2881	110
963	2884	107
964	2886	104
965	2889	101
966	2892	98
967	2895	95
968	2898	92
969	2900	89
970	2903	86
971	2906	83
972	2909	80
973	2912	77
974	2915	74
975	2917	71
976	2920	68
977	2923	65
978	2925	62
979	2928	59
980	2931	56
981	2934	53
982	2937	50
983	2939	47
984	2942	44
985	2944	41
986	2947	38
987	2950	35
988	2953	32
989	2956	29
990	2958	26
991	2961	23
992	2964	20
993	2967	17
994	2970	14
995	2973	11
996	2976	8
997	2979	5
998	2982	2
999	2984	0
