iter	RMSE
159	0.4280883288
160	0.4278231333
161	0.4276616391
162	0.4274778
163	0.4272162533
164	0.4270293178
165	0.4268202627
166	0.426711161
167	0.4266117958
168	0.4264051385
169	0.4262312416
170	0.4260752202
171	0.4259063679
172	0.4257317587
173	0.4255585278
174	0.425400034
175	0.4251979786
176	0.4250778161
177	0.4249677002
178	0.4248340221
179	0.4246941543
180	0.4245559032
181	0.4243268414
182	0.4240775524
183	0.4239400799
184	0.4238056154
185	0.4236197301
186	0.4235330511
187	0.4233624715
188	0.4232403031
189	0.4232001211
190	0.423057814
191	0.4228990488
192	0.4228364412
193	0.4226507812
194	0.4224699606
195	0.4223269398
196	0.4221613828
197	0.4221090948
198	0.4220780832
199	0.4218751164
200	0.421715544
201	0.4217097254
202	0.421656384
203	0.4216171392
204	0.4213842919
205	0.4211839097
206	0.4209460288
207	0.4209198209
208	0.4208942511
209	0.4207344877
210	0.4205885224
211	0.420374202
212	0.4201852454
213	0.4201522874
214	0.4200677714
215	0.4199326374
216	0.4198928886
217	0.4197547564
218	0.4195755601
219	0.4195460199
220	0.4195389229
221	0.4192245232
222	0.4189919356
223	0.4189712125
224	0.4187961306
225	0.4187783927
226	0.4187692939
227	0.4186332976
228	0.418419683
229	0.4182369341
230	0.4179740597
231	0.4177338695
232	0.4175870849
233	0.4174643519
234	0.4174464746
235	0.417411541
236	0.4171491864
237	0.4169675977
238	0.4167653732
239	0.416507963
240	0.4163242676
241	0.4161170124
242	0.4159930766
243	0.4158327489
244	0.4157302578
245	0.4155667353
246	0.4152968663
247	0.4151458447
248	0.4151338311
249	0.4149721405
250	0.4149580765
251	0.414821489
252	0.414676457
253	0.4145727711
254	0.4144429132
255	0.4142987447
256	0.4141386427
257	0.4140498125
258	0.414035042
259	0.4140215698
260	0.4138485002
261	0.4138336919
262	0.4136981386
263	0.4136077035
264	0.4133924612
265	0.4131783357
266	0.4131129585
267	0.4130671717
268	0.4129312642
269	0.4128013142
270	0.4126527272
271	0.4125384489
272	0.412422849
273	0.4122639558
274	0.4121513112
275	0.4120732908
276	0.4120277953
277	0.4118804124
278	0.4116894524
279	0.4115809165
280	0.4115082519
281	0.4114515239
282	0.4113015493
283	0.4112391526
284	0.411208821
285	0.410865359
286	0.410809045
287	0.4107875522
288	0.410696346
289	0.4104677271
290	0.4102930032
291	0.4101163158
292	0.4099578314
293	0.4097660936
294	0.4094498817
295	0.4093566744
296	0.4093347298
297	0.4093116666
298	0.4090913593
299	0.4088809413
300	0.4085408987
301	0.4085332017
302	0.4084511445
303	0.4083303057
304	0.4082031737
305	0.4080054249
306	0.4078374247
307	0.407720216
308	0.4076362476
309	0.4074835054
310	0.4073481843
311	0.4071814145
312	0.4069868577
313	0.4068423836
314	0.4066849375
315	0.406672883
316	0.4066337313
317	0.4065836383
318	0.4063700767
319	0.4062613816
320	0.4061729888
321	0.4058278795
322	0.4057622201
323	0.4057501177
324	0.4056576399
325	0.4055961546
326	0.4055150543
327	0.405426591
328	0.4053974733
329	0.4052603065
330	0.4049871442
331	0.4048425777
332	0.4046481332
333	0.404514257
334	0.4044287015
335	0.4044240625
336	0.4044105898
337	0.4043344482
338	0.4042200131
339	0.404092824
340	0.4038518567
341	0.4036144018
342	0.4033941088
343	0.4031913694
344	0.4031745125
345	0.4030668383
346	0.4030121068
347	0.4029565495
348	0.4028736465
349	0.4026890435
350	0.402554904
351	0.4024871812
352	0.4023779652
353	0.4022379668
354	0.4021812158
355	0.4020860049
356	0.4019448888
357	0.4018399157
358	0.4016991082
359	0.4014964283
360	0.4013605066
361	0.4012804733
362	0.4012026329
363	0.4009956508
364	0.4008668681
365	0.4008186939
366	0.4006848626
367	0.400568422
368	0.4003086344
369	0.4001793
370	0.3999516359
371	0.3997258121
372	0.399620059
373	0.3994580275
374	0.3994288754
375	0.3993082213
376	0.3992356921
377	0.3991472095
378	0.398953843
379	0.3988756426
380	0.3987006658
381	0.3986167986
382	0.3986116046
383	0.3984741754
384	0.3982390936
385	0.398075825
386	0.3979826964
387	0.3979135675
388	0.3978047138
389	0.397797173
390	0.3977065669
391	0.3974606986
392	0.3972490851
393	0.3970371286
394	0.3968946189
395	0.3968873121
396	0.3967769146
397	0.3966696396
398	0.3965364328
399	0.3963607272
400	0.396230814
401	0.3960852716
402	0.3960618484
403	0.3959140258
404	0.3958507843
405	0.3957652898
406	0.3957474188
407	0.395605062
408	0.3954496954
409	0.3952707972
410	0.3951921045
411	0.3951882025
412	0.3951611904
413	0.3950295172
414	0.3948989763
415	0.3948103082
416	0.3946125128
417	0.3944743045
418	0.3943346603
419	0.3943077572
420	0.3942450548
421	0.3942406755
422	0.3940380094
423	0.3938247864
424	0.3937370406
425	0.3935874883
426	0.3934774891
427	0.3934017355
428	0.3933009097
429	0.3931966745
430	0.3931327467
431	0.3929703823
432	0.3929276968
433	0.392814423
434	0.3927096482
435	0.3923847447
436	0.3923781068
437	0.3922719709
438	0.3921507159
439	0.3920231073
440	0.3918508314
441	0.3918031009
442	0.3917865636
443	0.3916211802
444	0.3914463165
445	0.3913398019
446	0.3912859733
447	0.3911816616
448	0.3910657758
449	0.3909088325
450	0.3908218314
451	0.3906482703
452	0.3905000073
453	0.3903942284
454	0.390274576
455	0.3901171578
456	0.3899703912
457	0.3898177653
458	0.3897442758
459	0.3895264355
460	0.3892317282
461	0.3891995846
462	0.3890596892
463	0.3889980063
464	0.3888772287
465	0.3888144807
466	0.388689598
467	0.3886033846
468	0.3885494461
469	0.388440005
470	0.3883414236
471	0.388305839
472	0.3882616591
473	0.3880941371
474	0.388024965
475	0.3879365108
476	0.3878748349
477	0.3878237121
478	0.3877729799
479	0.3876381671
480	0.387455338
481	0.3873193417
482	0.3871624006
483	0.3871505488
484	0.387122204
485	0.3870756826
486	0.3870291953
487	0.3869558757
488	0.3867805593
489	0.3866536694
490	0.3865174673
491	0.3863880961
492	0.3862884153
493	0.3861192958
494	0.3860256095
495	0.3859049162
496	0.3858576342
497	0.3858546873
498	0.3857451254
499	0.385740473
500	0.3856596937
501	0.3856553109
502	0.3854801115
503	0.3854268586
504	0.3853765627
505	0.3852595224
506	0.3851367328
507	0.3850980954
508	0.3850335598
509	0.3848555258
510	0.3848425782
511	0.3847600246
512	0.3846483811
513	0.3845560431
514	0.3845064103
515	0.384465818
516	0.3843480721
517	0.3841912022
518	0.3841099967
519	0.3840960565
520	0.3839755495
521	0.3837932226
522	0.3837814781
523	0.3837349722
524	0.3834782419
525	0.3832697906
526	0.3832601098
527	0.3831494397
528	0.3831053464
529	0.3830629137
530	0.3829748785
531	0.382874791
532	0.3828208177
533	0.3827471903
534	0.3825457663
535	0.3825373996
536	0.3825029893
537	0.3822931984
538	0.3822261692
539	0.3821059759
540	0.3821012786
541	0.3820870542
542	0.381962619
543	0.3817951525
544	0.3817337828
545	0.3817204839
546	0.3816874617
547	0.3816136222
548	0.3815939941
549	0.3814863056
550	0.3814614243
551	0.3813366044
552	0.381198772
553	0.3810956756
554	0.3810398998
555	0.3809248736
556	0.3808938396
557	0.3808138008
558	0.3807287436
559	0.3806506559
560	0.3805606303
561	0.38050728
562	0.3802883963
563	0.3802517676
564	0.3802002116
565	0.3801303297
566	0.3800298549
567	0.3800254306
568	0.3799019593
569	0.3796903558
570	0.3795264013
571	0.3794754761
572	0.3793877639
573	0.3793756469
574	0.3793403288
575	0.3792815395
576	0.3792711662
577	0.3792411176
578	0.3791324518
579	0.3790461929
580	0.3789538057
581	0.3788702995
582	0.3788062108
583	0.3787856995
584	0.3786212407
585	0.3785788498
586	0.3784580902
587	0.3783548329
588	0.3783513307
589	0.3782998081
590	0.3782004213
591	0.3781180061
592	0.3779836341
593	0.3778703106
594	0.3777813045
595	0.3776792423
596	0.3776141624
597	0.3775144033
598	0.3774011689
599	0.3773459799
600	0.3772162489
601	0.3771095946
602	0.376979158
603	0.3768777728
604	0.3767542698
605	0.3767028713
606	0.3766274713
607	0.376442099
608	0.3763492142
609	0.3761704789
610	0.3760281553
611	0.3760165765
612	0.3759605502
613	0.375898648
614	0.3757561642
615	0.3756963809
616	0.3756021402
617	0.3753879562
618	0.3751999121
619	0.3751744151
620	0.3750624278
621	0.3749743656
622	0.3749355777
623	0.3748797723
624	0.3748045617
625	0.3747109048
626	0.3746392883
627	0.3745780765
628	0.3745409766
629	0.3744899379
630	0.3743295843
631	0.3742283055
632	0.3740994864
633	0.374042617
634	0.3739524241
635	0.3738542053
636	0.3736759367
637	0.3735702393
638	0.3735281374
639	0.3735028646
640	0.3734320014
641	0.3733476566
642	0.3732972985
643	0.3732870705
644	0.3731490783
645	0.3730260067
646	0.3729714938
647	0.3729360382
648	0.3728636271
649	0.3727730589
650	0.3726707044
651	0.3725861405
652	0.3725352902
653	0.3724358419
654	0.3724207997
655	0.3722020991
656	0.3721142713
657	0.3720386986
658	0.3718865468
659	0.3718285198
660	0.3717569873
661	0.3716586213
662	0.3715276791
663	0.3715180724
664	0.3714616739
665	0.3714204503
666	0.3713343157
667	0.3712702017
668	0.3711623792
669	0.3711268437
670	0.371118497
671	0.371049767
672	0.3709516341
673	0.3708607111
674	0.3707680637
675	0.3706948245
676	0.370618977
677	0.3705087603
678	0.3703568891
679	0.3702436592
680	0.3701420563
681	0.3700864484
682	0.3700376647
683	0.3699663112
684	0.3698888527
685	0.3698793364
686	0.3698151501
687	0.3697592704
688	0.3696255834
689	0.3696061203
690	0.3694813248
691	0.3694647913
692	0.3693535917
693	0.3692504785
694	0.3691106029
695	0.3690368976
696	0.3690347375
697	0.3689442535
698	0.3688615921
699	0.3688182616
700	0.3687246811
701	0.3686504736
702	0.3685527398
703	0.3683703599
704	0.368361313
705	0.3682791265
706	0.3682529776
707	0.3681534315
708	0.368091945
709	0.3679985106
710	0.3679185678
711	0.3679017472
712	0.3678001285
713	0.367717506
714	0.3676436797
715	0.3676272058
716	0.3675306586
717	0.3675039415
718	0.3673964222
719	0.3673105664
720	0.3672312739
721	0.3671417007
722	0.3669987241
723	0.3669974843
724	0.3669107907
725	0.3668668574
726	0.3668350444
727	0.3667866824
728	0.3667315166
729	0.3666698224
730	0.3665556234
731	0.3665303909
732	0.3664711851
733	0.3664517878
734	0.3663159157
735	0.366261264
736	0.3662462876
737	0.3661613362
738	0.3660198815
739	0.3659633305
740	0.3659197705
741	0.3657593688
742	0.3656908482
743	0.3655622078
744	0.3654970621
745	0.3654744817
746	0.365375377
747	0.3653447521
748	0.3652627956
749	0.365151492
750	0.3650666051
751	0.3649176397
752	0.3648564433
753	0.364769641
754	0.3646763746
755	0.364582517
756	0.3645429899
757	0.3644612051
758	0.3644063424
759	0.3643916339
760	0.3642831894
761	0.3641891302
762	0.3640563957
763	0.3640251935
764	0.3640018564
765	0.3639415338
766	0.3638459296
767	0.3637954151
768	0.3636775379
769	0.3636402082
770	0.363550799
771	0.3635018274
772	0.3634084714
773	0.3633058479
774	0.3632385114
775	0.3631522476
776	0.3629818715
777	0.3627308962
778	0.3627224886
779	0.3625817587
780	0.3625493687
781	0.3623983095
782	0.3623145821
783	0.362180686
784	0.3621378918
785	0.36201564
786	0.3618510728
787	0.3617480789
788	0.3615586967
789	0.361458584
790	0.3614453727
791	0.3613145305
792	0.361262978
793	0.3611959658
794	0.3611206889
795	0.360964998
796	0.3608869977
797	0.3607634803
798	0.3606928886
799	0.3605699277
800	0.3605058018
801	0.3604574633
802	0.3604484513
803	0.3604102728
804	0.3603948874
805	0.3602662221
806	0.3601667296
807	0.3600556729
808	0.3599529984
809	0.3598907467
810	0.3598224883
811	0.3597525113
812	0.3596814206
813	0.3595891988
814	0.3595372433
815	0.3593930136
816	0.3592274458
817	0.3591482042
818	0.3591056855
819	0.3590936224
820	0.3590523895
821	0.3589760557
822	0.358862444
823	0.3587518339
824	0.3587196934
825	0.3586399935
826	0.358568346
827	0.3585350577
828	0.3584864849
829	0.3584111805
830	0.3582979337
831	0.3582306984
832	0.3581638004
833	0.3581556763
834	0.3581252445
835	0.3580945932
836	0.3579788713
837	0.357921354
838	0.3578426321
839	0.3577761655
840	0.3577375663
841	0.3576677992
842	0.3576239805
843	0.3574642684
844	0.3573601566
845	0.3572858413
846	0.3571001792
847	0.3570516087
848	0.3569371385
849	0.356864732
850	0.3568487469
851	0.3567657975
852	0.3566351551
853	0.3565936136
854	0.3565782683
855	0.3565057415
856	0.3564763991
857	0.3564462694
858	0.3563667168
859	0.3562369803
860	0.3562300854
861	0.3560948932
862	0.3560755715
863	0.3560326822
864	0.3559977658
865	0.3559491008
866	0.3558959065
867	0.355864817
868	0.3557834123
869	0.3556125959
870	0.3554603293
871	0.3554199536
872	0.3552784843
873	0.3552425835
874	0.355140774
875	0.3550083482
876	0.3549326076
877	0.3548466833
878	0.3546762794
879	0.3545983331
880	0.3544897973
881	0.354403503
882	0.3543177316
883	0.3543087583
884	0.3542378537
885	0.3541903714
886	0.3541666061
887	0.354130747
888	0.3540691725
889	0.3540338787
890	0.3539535908
891	0.3539027393
892	0.353854658
893	0.3537845098
894	0.3537371478
895	0.3537221044
896	0.3536430757
897	0.3536331636
898	0.3535296517
899	0.3534776053
900	0.3533767862
901	0.3532915256
902	0.3532813018
903	0.3532652595
904	0.3532209419
905	0.3531712783
906	0.3530498581
907	0.3529554249
908	0.3528751763
909	0.3526244903
910	0.3525837752
911	0.3524356681
912	0.3523849752
913	0.3523609788
914	0.3523339004
915	0.3522407598
916	0.3521772195
917	0.3521105503
918	0.3520639909
919	0.3520525898
920	0.3519320114
921	0.3517588235
922	0.351626024
923	0.3515748442
924	0.3514657517
925	0.3514071283
926	0.351280748
927	0.3512162076
928	0.3511247857
929	0.351028018
930	0.3509679513
931	0.3508732246
932	0.3508124242
933	0.3507240889
934	0.3506595912
935	0.3505928095
936	0.350554779
937	0.3504974301
938	0.3504324426
939	0.3503092715
940	0.3501664062
941	0.3501108768
942	0.3501094198
943	0.3500007731
944	0.3499565727
945	0.3499234391
946	0.3499224586
947	0.3499167878
948	0.3498871572
949	0.3498188844
950	0.3496202738
951	0.3494795806
952	0.349350612
953	0.3492633661
954	0.3492462803
955	0.3491263495
956	0.3490344791
957	0.3489749782
958	0.3489282904
959	0.3487936941
960	0.3487475803
961	0.3486600518
962	0.3486413021
963	0.3486143958
964	0.3485670232
965	0.3484834095
966	0.3483682825
967	0.3483385757
968	0.3482623583
969	0.3482518294
970	0.3481802838
971	0.3481315955
972	0.3480604651
973	0.3479670303
974	0.3479656727
975	0.3478652681
976	0.347836552
977	0.3477777618
978	0.3477641185
979	0.3477417982
980	0.3477063923
981	0.3476968041
982	0.3476955945
983	0.347674228
984	0.3476122791
985	0.3475626725
986	0.3474500698
987	0.3473589896
988	0.3472594662
989	0.3471698578
990	0.3470323979
991	0.3469636205
992	0.3468103242
993	0.3467412702
994	0.3467264711
995	0.3466223551
996	0.3465838579
997	0.3464757726
998	0.3463746521
999	0.3463314461
